Proposed pillar,Proposed pillar meaning,Primary VDEI pillar code,Primary VDEI pillar name,Primary VDEI pillar meaning,Secondary related pillar - not for scoring,Excel code,Indicator,Indicator meaning,Unit,Formula / operationalization,Cleaned source detail (no Questionnaire),Recommended source URL(s),Detailed data access / crawl instruction for IT,Frequency,Collection method,Update suitability,Tier / decision,2023 data,2024 data,2025 data,Data evidence / notes for 2023-2025,Notes
P1 Quy mô & hiệu quả thị trường,"Đo quy mô, tốc độ tăng trưởng và cấu trúc giá trị của thị trường TMĐT Việt Nam.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,A01,GMV e-commerce,"Tổng giá trị giao dịch TMĐT của Việt Nam, dùng như KPI quy mô thị trường cốt lõi ở cấp quốc gia.",Billion USD,GMV_t = tổng giá trị giao dịch hàng hóa/dịch vụ TMĐT trong kỳ.,"Source: Google-Temasek-Bain e-Conomy SEA 2024/2025; Exact: e-Conomy SEA 2024, Vietnam p.4 (E-commerce GMV 2022-2024); e-Conomy SEA 2025, Vietnam p.3 (E-commerce GMV 2023-2025)",https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf,"1) Search keyword: ""e-Conomy SEA {year} Vietnam report Google Temasek Bain"" or go directly to https://economysea.withgoogle.com/.
 2) Click ""Download reports"" and select Vietnam country report or the full SEA report for the target year.
 3) Download the PDF and store it with metadata fields: report_year, country, source_url, downloaded_at.
 4) Use PDF text extraction first; if the page is a chart, use OCR/table extraction on the Vietnam country pages.
 5) For this indicator, search within the PDF using keywords from the indicator name plus: ""e-commerce"", ""GMV"", ""digital economy"", ""video commerce"", ""DFS"", ""gross transaction value"".
 6) Extract value, unit, year/forecast year, page number, chart title, and footnote. Flag values as ""actual/estimate/forecast"" because e-Conomy SEA often reports estimated current-year values.
 7) Manual QA: compare with Google Vietnam/Bain press release for the same report year before publishing to dashboard.
 
 - Source: Google-Temasek-Bain e-Conomy SEA 2024/2025; Exact: e-Conomy SEA 2024, Vietnam p.4 (E-commerce GMV 2022-2024); e-Conomy SEA 2025, Vietnam p.3 (E-commerce GMV 2023-2025)
 - Recommended starting URL(s): https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf
 - Row-specific search keywords: GMV e-commerce, A01, Billion USD",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,22,25,2024: e-Conomy SEA 2024 reported Vietnam e-commerce market around USD 22B; 2025: Google Vietnam blog/e-Conomy SEA 2025 says e-commerce is forecast to reach USD 25B.,
P1. Quy mô & hiệu quả thị trường,"Đo quy mô, tốc độ tăng trưởng và cấu trúc giá trị của thị trường TMĐT Việt Nam.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,A02,Online retail revenue (B2C),Doanh thu bán lẻ trực tuyến B2C,Billion USD,Online retail revenue_t = doanh thu bán lẻ trực tuyến B2C trong kỳ.,Source: VECOM / iDEA / market reports; Exact: EBI 2025 Lời nói đầu p.1-3 nêu quy mô bán lẻ trực tuyến 2024 đạt 32 tỷ USD; nên đối chiếu thêm báo cáo TMĐT Bộ Công Thương khi công bố,https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf; https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf,"1) Search keyword: ""e-Conomy SEA {year} Vietnam report Google Temasek Bain"" or go directly to https://economysea.withgoogle.com/.
 2) Click ""Download reports"" and select Vietnam country report or the full SEA report for the target year.
 3) Download the PDF and store it with metadata fields: report_year, country, source_url, downloaded_at.
 4) Use PDF text extraction first; if the page is a chart, use OCR/table extraction on the Vietnam country pages.
 5) For this indicator, search within the PDF using keywords from the indicator name plus: ""e-commerce"", ""GMV"", ""digital economy"", ""video commerce"", ""DFS"", ""gross transaction value"".
 6) Extract value, unit, year/forecast year, page number, chart title, and footnote. Flag values as ""actual/estimate/forecast"" because e-Conomy SEA often reports estimated current-year values.
 7) Manual QA: compare with Google Vietnam/Bain press release for the same report year before publishing to dashboard.
 
 -  Source: VECOM / iDEA / market reports; Exact: EBI 2025 Lời nói đầu p.1-3 nêu quy mô bán lẻ trực tuyến 2024 đạt 32 tỷ USD; nên đối chiếu thêm báo cáo TMĐT Bộ Công Thương khi công bố
 - Recommended starting URL(s): https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf; 
https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; 
https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf
 - Row-specific search keywords: Online retail revenue (B2C), A02, Billion USD",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,20,32,,2023: VECOM/EBI 2023 forecast/estimated Vietnam e-commerce market to exceed USD 20B. 2024: VECOM EBI 2025 states online retail/e-commerce market reached USD 32B in 2024. Definitions may differ from e-Conomy SEA GMV.,
P1. Quy mô & hiệu quả thị trường,"Đo quy mô, tốc độ tăng trưởng và cấu trúc giá trị của thị trường TMĐT Việt Nam.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,A03,E-commerce share of retail,Tỷ trọng TMĐT trong tổng mức bán lẻ; phản ánh mức độ số hoá của bán lẻ.,%,E-commerce share of retail_t = Online retail revenue_t / Total retail sales_t * 100.,Source: VECOM + GSO; Exact: EBI 2023 Lời nói đầu p.5 nêu năm 2022 TMĐT chiếm khoảng 8.5% tổng mức bán lẻ hàng hoá và doanh thu dịch vụ tiêu dùng; online retail khoảng 7.2% riêng bán lẻ hàng hoá,https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf; https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf,"1) Search keyword: ""e-Conomy SEA {year} Vietnam report Google Temasek Bain"" or go directly to https://economysea.withgoogle.com/.
 2) Click ""Download reports"" and select Vietnam country report or the full SEA report for the target year.
 3) Download the PDF and store it with metadata fields: report_year, country, source_url, downloaded_at.
 4) Use PDF text extraction first; if the page is a chart, use OCR/table extraction on the Vietnam country pages.
 5) For this indicator, search within the PDF using keywords from the indicator name plus: ""e-commerce"", ""GMV"", ""digital economy"", ""video commerce"", ""DFS"", ""gross transaction value"".
 6) Extract value, unit, year/forecast year, page number, chart title, and footnote. Flag values as ""actual/estimate/forecast"" because e-Conomy SEA often reports estimated current-year values.
 7) Manual QA: compare with Google Vietnam/Bain press release for the same report year before publishing to dashboard.
 
- Source: VECOM + GSO; Exact: EBI 2023 Lời nói đầu p.5 nêu năm 2022 TMĐT chiếm khoảng 8.5% tổng mức bán lẻ hàng hoá và doanh thu dịch vụ tiêu dùng; online retail khoảng 7.2% riêng bán lẻ hàng hoá
 - Recommended starting URL(s): https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf; https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf
 - Row-specific search keywords: E-commerce share of retail, A03, %",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,9,,2024: Vietnam Government Portal reported e-commerce accounted for 9% of total retail sales and services revenue.,
P1. Quy mô & hiệu quả thị trường,"Đo quy mô, tốc độ tăng trưởng và cấu trúc giá trị của thị trường TMĐT Việt Nam.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,A04,E-commerce growth rate,Tốc độ tăng trưởng năm của GMV hoặc doanh thu TMĐT.,%,Growth rate_t = (Value_t - Value_(t-1)) / Value_(t-1) * 100.,"Source: e-Conomy SEA / VECOM; Exact: e-Conomy SEA 2024, Vietnam p.4 cho thấy e-commerce tăng 25% năm 2024; e-Conomy SEA 2025, Vietnam p.3 cho thấy 2024-2025 tăng 17%",https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf,"1) Search keyword: ""e-Conomy SEA {year} Vietnam report Google Temasek Bain"" or go directly to https://economysea.withgoogle.com/.
 2) Click ""Download reports"" and select Vietnam country report or the full SEA report for the target year.
 3) Download the PDF and store it with metadata fields: report_year, country, source_url, downloaded_at.
 4) Use PDF text extraction first; if the page is a chart, use OCR/table extraction on the Vietnam country pages.
 5) For this indicator, search within the PDF using keywords from the indicator name plus: ""e-commerce"", ""GMV"", ""digital economy"", ""video commerce"", ""DFS"", ""gross transaction value"".
 6) Extract value, unit, year/forecast year, page number, chart title, and footnote. Flag values as ""actual/estimate/forecast"" because e-Conomy SEA often reports estimated current-year values.
 7) Manual QA: compare with Google Vietnam/Bain press release for the same report year before publishing to dashboard.
 
Source: e-Conomy SEA / VECOM; Exact: e-Conomy SEA 2024, Vietnam p.4 cho thấy e-commerce tăng 25% năm 2024; e-Conomy SEA 2025, Vietnam p.3 cho thấy 2024-2025 tăng 17%
 - Recommended starting URL(s): https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf
 - Row-specific search keywords: E-commerce growth rate, A04, %",Yearly / Quarterly estimate,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,18-20 / 25 depending definition,17,2024: e-Conomy SEA/Reuters reported Vietnam e-commerce market grew 18% in 2024; Government Portal reported 20%; workbook also notes e-Conomy SEA chart 25%. 2025: Google Vietnam blog says e-commerce forecast growth is 17%.,
P2. Cầu & hành vi người tiêu dùng/doanh nghiệp mua,"Đo mức độ tham gia, tần suất, chi tiêu và sự quay lại của người mua online.",EC-C,E-commerce Consumer Behavior / Hành vi và trải nghiệm người tiêu dùng TMĐT,"Đo mức độ tham gia, hành vi mua sắm, trải nghiệm, niềm tin và xu hướng tiêu dùng của người mua online.",CAP,B02,% internet users buying online,Tỷ lệ người dùng Internet đã mua online trong kỳ tham chiếu.,%,% internet users buying online_t = Online buyers_t / Internet users_t * 100.,Source: Consumer survey / e-Conomy SEA / DataReportal; Exact: e-Conomy SEA 2022 Vietnam consumer page shows e-commerce adoption among urban digital users,https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights,"1) Search keyword: ""DataReportal Digital {year} Vietnam"" or open https://datareportal.com/digital-in-vietnam.
 2) Select the report matching the target year, e.g. Digital 2023: Vietnam, Digital 2024: Vietnam, Digital 2025: Vietnam.
 3) Crawl the HTML article first because headline statistics are available in text; optionally download/parse the embedded slide deck if needed.
 4) Search within page for: ""internet users"", ""internet penetration"", ""social media users"", ""mobile connections"", ""ecommerce"".
 5) Extract value, unit, date basis (normally January/start of year), source note (Kepios/GSMA/Meta/etc.), and URL.
 6) Standardize date as YYYY-01 and mark as start-of-year observation.
 7) Manual QA: DataReportal can revise methodology, so keep the exact report URL/year and do not mix values across global and country reports.
 
Source: Consumer survey / e-Conomy SEA / DataReportal; Exact: e-Conomy SEA 2022 Vietnam consumer page shows e-commerce adoption among urban digital users
 - Recommended starting URL(s): https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights
 - Row-specific search keywords: % internet users buying online, B02, %",Yearly,API/HTML/PDF extraction; scheduled monthly/annual refresh depending source.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P2. Cầu & hành vi người tiêu dùng/doanh nghiệp mua,"Đo mức độ tham gia, tần suất, chi tiêu và sự quay lại của người mua online.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","EC-C, CAP",B09,% enterprises receiving orders online,Tỷ lệ doanh nghiệp nhận đơn hàng qua công cụ trực tuyến.,%,% enterprises receiving orders online = enterprises receiving online orders / surveyed enterprises * 100.,Source: EBI / enterprise survey; Exact: EBI 2024 B2B methodology p.46-47 includes 'nhận đơn đặt hàng qua các công cụ trực tuyến'; EBI 2023 B2B methodology p.53-54,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
Source: EBI / enterprise survey; Exact: EBI 2024 B2B methodology p.46-47 includes 'nhận đơn đặt hàng qua các công cụ trực tuyến'; EBI 2023 B2B methodology p.53-54
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf
 - Row-specific search keywords: % enterprises receiving orders online, B09, %",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P2. Cầu & hành vi người tiêu dùng/doanh nghiệp mua,"Đo mức độ tham gia, tần suất, chi tiêu và sự quay lại của người mua online.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","EC-C, CAP",B10,% enterprises using ERP/CRM/SCM,Tỷ lệ doanh nghiệp sử dụng phần mềm quản trị phục vụ giao dịch B2B và vận hành.,%,ERP/CRM/SCM usage rate = enterprises using ERP/CRM/SCM / surveyed enterprises * 100.,Exact: EBI 2024 Hình 21-22 p.33; EBI 2023 Hình 25-26 p.38,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
- Exact: EBI 2024 Hình 21-22 p.33; EBI 2023 Hình 25-26 p.38
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf
 - Row-specific search keywords: % enterprises using ERP/CRM/SCM, B10, %",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P2. Cầu & hành vi người tiêu dùng/doanh nghiệp mua,"Đo mức độ tham gia, tần suất, chi tiêu và sự quay lại của người mua online.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","EC-C, CAP",B11,% enterprises using e-signature,Tỷ lệ doanh nghiệp sử dụng chữ ký điện tử.,%,E-signature usage rate = enterprises using e-signature / surveyed enterprises * 100.,Source: EBI; Exact: EBI 2024 Hình 23 p.34; EBI 2023 Hình 27 p.39; EBI 2025 chapter II section 2b p.30-31,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI; Exact: EBI 2024 Hình 23 p.34; EBI 2023 Hình 27 p.39; EBI 2025 chapter II section 2b p.30-31
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf
 - Row-specific search keywords: % enterprises using e-signature, B11, %",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P2. Cầu & hành vi người tiêu dùng/doanh nghiệp mua,"Đo mức độ tham gia, tần suất, chi tiêu và sự quay lại của người mua online.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.","EC-C, CAP",B12,% enterprises using e-contracts,Tỷ lệ doanh nghiệp sử dụng hợp đồng điện tử trong giao dịch.,%,E-contract usage rate = enterprises using e-contracts / surveyed enterprises * 100.,Source: EBI; Exact: EBI 2025 Hình 5 p.31; EBI 2024 section 4b p.34; EBI 2023 Hình 28 p.39,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI; Exact: EBI 2025 Hình 5 p.31; EBI 2024 section 4b p.34; EBI 2023 Hình 28 p.39
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf
 - Row-specific search keywords: % enterprises using e-contracts, B12, %",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P3. Năng lực doanh nghiệp & mức độ tham gia TMĐT,"Đo mức độ doanh nghiệp có hiện diện số, bán online, dùng website/sàn/social/mobile và mức độ quan trọng của TMĐT trong vận hành.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",CAP,C01,% enterprises with website,Tỷ lệ doanh nghiệp có website riêng phục vụ quảng bá hoặc bán hàng.,%,Website adoption = enterprises with official website / surveyed enterprises * 100.,Source: EBI; Exact: EBI 2025 Hình 6 p.31-32; EBI 2024 Hình 7 p.27; EBI 2023 corresponding website figure,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://online.gov.vn/tra-cuu,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI; Exact: EBI 2025 Hình 6 p.31-32; EBI 2024 Hình 7 p.27; EBI 2023 corresponding website figure
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://online.gov.vn/tra-cuu
 - Row-specific search keywords: % enterprises with website, C01, %",Yearly,Report extraction and computed ratio; manual QA for annual version.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
